,concept_code_y,concept_name_y,opcs
54,H35.8,Other specified fixation of rectum for prolapse,H358
55,H35.9,Unspecified fixation of rectum for prolapse,H359
56,H35,Fixation of rectum for prolapse,H35
57,H36,Other abdominal operations for prolapse of rectum,H36
746,H22.8,Other specified diagnostic endoscopic examination of colon,H228
747,H22.9,Unspecified diagnostic endoscopic examination of colon,H229
864,H44.3,Manual evacuation of impacted faeces from rectum,H443
1269,G72.2,Anastomosis of ileum to transverse colon,G722
1328,H56.3,Incision of septum of anus,H563
1419,H33.5,Rectosigmoidectomy and closure of rectal stump and exteriorisation of bowel,H335
1654,U17.4,Barium enema,U174
1655,Y90.5,Barium enema NEC,Y905
1732,X65.4,Delivery of a fraction of external beam radiotherapy NEC,X654
1733,Y91.8,Other specified external beam radiotherapy,Y918
1734,Y91.9,Unspecified external beam radiotherapy,Y919
2265,A61.3,Radiotherapy to lesion of peripheral nerve,A613
2300,C24.2,Radiotherapy to lacrimal gland,C242
2312,C45.5,Radiotherapy to lesion of cornea,C455
2325,G02.4,Total oesophagectomy and interposition of microvascularly attached colon,G024
2337,G03.5,Partial oesophagectomy and interposition of microvascularly attached colon,G035
2361,G51.4,Bypass of duodenum by anastomosis of duodenum to colon,G514
2374,G58.3,Total jejunectomy and anastomosis of duodenum to colon,G583
2384,G71.3,Bypass of ileum by anastomosis of ileum to caecum,G713
2406,G71.4,Bypass of ileum by anastomosis of ileum to transverse colon,G714
2430,G72.1,Anastomosis of ileum to caecum,G721
2442,G82.1,Radiological reduction of intussusception of ileum using barium enema,G821
2469,H04.8,Other specified total excision of colon and rectum,H048
2470,H04.9,Unspecified total excision of colon and rectum,H049
2473,H04,Total excision of colon and rectum,H04
2495,H06.3,Extended right hemicolectomy and anastomosis NEC,H063
2496,H06.8,Other specified extended excision of right hemicolon,H068
2497,H06.9,Unspecified extended excision of right hemicolon,H069
2502,H06,Extended excision of right hemicolon,H06
2524,H06.2,Extended right hemicolectomy and anastomosis of ileum to colon,H062
2536,H07.1,Right hemicolectomy and end to end anastomosis of ileum to colon,H071
2549,H07.2,Right hemicolectomy and side to side anastomosis of ileum to transverse colon,H072
2559,H08.1,Transverse colectomy and end to end anastomosis,H081
2571,H08.2,Transverse colectomy and anastomosis of ileum to colon,H082
2583,H09.1,Left hemicolectomy and end to end anastomosis of colon to rectum,H091
2593,H09.2,Left hemicolectomy and end to end anastomosis of colon to colon,H092
2605,H10.1,Sigmoid colectomy and end to end anastomosis of ileum to rectum,H101
2617,H10.2,Sigmoid colectomy and anastomosis of colon to rectum,H102
2640,H12.8,Other specified extirpation of lesion of colon,H128
2641,H12.9,Unspecified extirpation of lesion of colon,H129
2642,H12,Extirpation of lesion of colon,H12
3082,H13.8,Other specified bypass of colon,H138
3083,H13.9,Unspecified bypass of colon,H139
3084,H13,Bypass of colon,H13
3095,H13.1,Bypass of colon by anastomosis of ileum to colon,H131
3118,H13.2,Bypass of colon by anastomosis of caecum to sigmoid colon,H132
3127,H13.3,Bypass of colon by anastomosis of transverse colon to sigmoid colon,H133
3137,H13.4,Bypass of colon by anastomosis of transverse colon to rectum,H134
3138,H13.5,Bypass of colon by anastomosis of colon to rectum NEC,H135
3149,H14.2,Refashioning of caecostomy,H142
3161,H15.6,Reduction of prolapse of colostomy,H156
3179,H17.6,Open relief of obstruction of colon NEC,H176
3180,H17.8,Other specified intra-abdominal manipulation of colon,H178
3181,H17.9,Unspecified intra-abdominal manipulation of colon,H179
3182,H17,Intra-abdominal manipulation of colon,H17
3195,H17.1,Open reduction of intussusception of colon,H171
3209,H17.2,Open reduction of volvulus of caecum,H172
3223,H17.3,Open reduction of volvulus of sigmoid colon,H173
