,concept_code_y,concept_name_y,opcs
54,H35.8,Other specified fixation of rectum for prolapse,H358
55,H35.9,Unspecified fixation of rectum for prolapse,H359
56,H35,Fixation of rectum for prolapse,H35
57,H36,Other abdominal operations for prolapse of rectum,H36
986,H22.8,Other specified diagnostic endoscopic examination of colon,H228
987,H22.9,Unspecified diagnostic endoscopic examination of colon,H229
1104,H44.3,Manual evacuation of impacted faeces from rectum,H443
1509,G72.2,Anastomosis of ileum to transverse colon,G722
1595,Y89,Brachytherapy,Y89
1628,H56.3,Incision of septum of anus,H563
2830,H33.5,Rectosigmoidectomy and closure of rectal stump and exteriorisation of bowel,H335
3065,U17.4,Barium enema,U174
3066,Y90.5,Barium enema NEC,Y905
3143,X65.4,Delivery of a fraction of external beam radiotherapy NEC,X654
3144,Y91.8,Other specified external beam radiotherapy,Y918
3145,Y91.9,Unspecified external beam radiotherapy,Y919
4195,A61.3,Radiotherapy to lesion of peripheral nerve,A613
4230,C24.2,Radiotherapy to lacrimal gland,C242
4242,C45.5,Radiotherapy to lesion of cornea,C455
4255,G02.4,Total oesophagectomy and interposition of microvascularly attached colon,G024
4267,G03.5,Partial oesophagectomy and interposition of microvascularly attached colon,G035
4291,G51.4,Bypass of duodenum by anastomosis of duodenum to colon,G514
4304,G58.3,Total jejunectomy and anastomosis of duodenum to colon,G583
4314,G71.3,Bypass of ileum by anastomosis of ileum to caecum,G713
4336,G71.4,Bypass of ileum by anastomosis of ileum to transverse colon,G714
4360,G72.1,Anastomosis of ileum to caecum,G721
4372,G82.1,Radiological reduction of intussusception of ileum using barium enema,G821
4399,H04.8,Other specified total excision of colon and rectum,H048
4400,H04.9,Unspecified total excision of colon and rectum,H049
4403,H04,Total excision of colon and rectum,H04
4425,H06.3,Extended right hemicolectomy and anastomosis NEC,H063
4426,H06.8,Other specified extended excision of right hemicolon,H068
4427,H06.9,Unspecified extended excision of right hemicolon,H069
4432,H06,Extended excision of right hemicolon,H06
4454,H06.2,Extended right hemicolectomy and anastomosis of ileum to colon,H062
4466,H07.1,Right hemicolectomy and end to end anastomosis of ileum to colon,H071
4479,H07.2,Right hemicolectomy and side to side anastomosis of ileum to transverse colon,H072
4489,H08.1,Transverse colectomy and end to end anastomosis,H081
4501,H08.2,Transverse colectomy and anastomosis of ileum to colon,H082
4513,H09.1,Left hemicolectomy and end to end anastomosis of colon to rectum,H091
4523,H09.2,Left hemicolectomy and end to end anastomosis of colon to colon,H092
4535,H10.1,Sigmoid colectomy and end to end anastomosis of ileum to rectum,H101
4547,H10.2,Sigmoid colectomy and anastomosis of colon to rectum,H102
4570,H12.8,Other specified extirpation of lesion of colon,H128
4571,H12.9,Unspecified extirpation of lesion of colon,H129
4572,H12,Extirpation of lesion of colon,H12
5012,H13.8,Other specified bypass of colon,H138
5013,H13.9,Unspecified bypass of colon,H139
5014,H13,Bypass of colon,H13
5025,H13.1,Bypass of colon by anastomosis of ileum to colon,H131
5048,H13.2,Bypass of colon by anastomosis of caecum to sigmoid colon,H132
5057,H13.3,Bypass of colon by anastomosis of transverse colon to sigmoid colon,H133
5067,H13.4,Bypass of colon by anastomosis of transverse colon to rectum,H134
5068,H13.5,Bypass of colon by anastomosis of colon to rectum NEC,H135
5079,H14.2,Refashioning of caecostomy,H142
5091,H15.6,Reduction of prolapse of colostomy,H156
5109,H17.6,Open relief of obstruction of colon NEC,H176
5110,H17.8,Other specified intra-abdominal manipulation of colon,H178
5111,H17.9,Unspecified intra-abdominal manipulation of colon,H179
5112,H17,Intra-abdominal manipulation of colon,H17
5125,H17.1,Open reduction of intussusception of colon,H171
5139,H17.2,Open reduction of volvulus of caecum,H172
