snomed,opcs,opcs_term
49586007,H144,H14.4 Appendicocaecostomy
118866001,Q569,Q56.9 Unspecified other operations on female genital tract
85472003,T374,T37.4 Repair of mesentery of small intestine
118867005,Q548,Q54.8 Other specified operations on other ligament of uterus
250073009,Y252,Y25.2 Resuture of organ NOC
63187005,Q521,Q52.1 Excision of lesion of broad ligament of uterus
238299003,T371,T37.1 Excision of lesion of mesentery of small intestine
73257006,Y031,Y03.1 Maintenance of prosthesis in organ NOC
77442000,Y037,Y03.7 Removal of prosthesis from organ NOC
169353003,Z534,Z53.4 Peritoneal cavity
47765003,T094,T09.4 Chemical open pleurodesis
238262003,T341,T34.1 Open drainage of subphrenic abscess
238288000,T468,T46.8 Other specified other drainage of peritoneal cavity
440189003,Y032,Y03.2 Renewal of prosthesis in organ NOC
120174003,T388,T38.8 Other specified operations on mesentery of colon
25187007,T363,T36.3 Destruction of lesion of omentum
87102007,Y066,Y06.6 Vacuum excision of lesion of organ NOC
10848006,Y037,Y03.7 Removal of prosthesis from organ NOC
235314005,H012,H01.2 Emergency excision of abnormal appendix NEC
8613002,H033,H03.3 Exteriorisation of appendix
78233008,Y252,Y25.2 Resuture of organ NOC
708988001,X428,X42.8 Other specified placement of other apparatus for compensation for renal failure
772081005,Y281,Y28.1 Insertion of synthetic mesh into organ NOC
180277007,X421,X42.1 Insertion of temporary peritoneal dialysis catheter
709633006,T439,T43.9 Unspecified diagnostic endoscopic examination of peritoneum
66681002,A124,A12.4 Creation of ventriculoperitoneal shunt
387826009,T341,T34.1 Open drainage of subphrenic abscess
80264004,Y398,Y39.8 Other specified injection of other substance into organ NOC
450435004,T463,T46.3 Irrigation of peritoneal cavity
238268004,T368,T36.8 Other specified operations on omentum
32578005,Y205,Y20.5 Percutaneous biopsy NOC
176742008,Y229,Y22.9 Unspecified drainage of organ NOC
32578005,Y203,Y20.3 Biopsy of lesion of organ NOC
772774007,Y752,Y75.2 Laparoscopic approach to abdominal cavity NEC
63343006,Y751,Y75.1 Laparoscopically assisted approach to abdominal cavity
710313004,Y943,Y94.3 Metaiodobenzylguanidine imaging
238257004,T348,T34.8 Other specified open drainage of peritoneum
676002,X428,X42.8 Other specified placement of other apparatus for compensation for renal failure
359902008,T289,T28.9 Unspecified other repair of anterior abdominal wall
238269007,T388,T38.8 Other specified operations on mesentery of colon
450435004,Y755,Y75.5 Laparoscopic ultrasonic approach to abdominal cavity
440041009,Y037,Y03.7 Removal of prosthesis from organ NOC
225230008,X428,X42.8 Other specified placement of other apparatus for compensation for renal failure
238257004,T342,T34.2 Open drainage of pelvic abscess
87053005,Q528,Q52.8 Other specified operations on broad ligament of uterus
214173000,Q548,Q54.8 Other specified operations on other ligament of uterus
241479003,Y971,Y97.1 Radiology with pre and post contrast
359691006,T462,T46.2 Drainage of ascites NEC
47765003,T099,T09.9 Unspecified other open operations on pleura
431946006,Y971,Y97.1 Radiology with pre and post contrast
238262003,T451,T45.1 Image controlled percutaneous drainage of subphrenic abscess
225230008,X429,X42.9 Unspecified placement of other apparatus for compensation for renal failure
80264004,T484,T48.4 Introduction of substance into peritoneal cavity NEC
177981006,T391,T39.1 Excision of lesion of posterior peritoneum
178020005,X658,X65.8 Other specified radiotherapy delivery
359902008,T288,T28.8 Other specified other repair of anterior abdominal wall
708613002,T341,T34.1 Open drainage of subphrenic abscess
241479003,Y981,Y98.1 Radiology of one body area (or < 20 minutes)
120176001,T373,T37.3 Biopsy of lesion of mesentery of small intestine
359981003,Y079,Y07.9 Unspecified obliteration of cavity of organ NOC
238286001,T463,T46.3 Irrigation of peritoneal cavity
8613002,H018,H01.8 Other specified emergency excision of appendix
676002,X402,X40.2 Peritoneal dialysis NEC
68141001,T382,T38.2 Destruction of lesion of mesentery of colon
438341004,X428,X42.8 Other specified placement of other apparatus for compensation for renal failure
709643009,T433,T43.3 Diagnostic endoscopic ultrasound examination of peritoneum
238257004,T452,T45.2 Image controlled percutaneous drainage of pelvic abscess
71192002,X406,X40.6 Continuous ambulatory peritoneal dialysis
709643009,T411,T41.1 Open biopsy of lesion of peritoneum NEC
50065002,Y398,Y39.8 Other specified injection of other substance into organ NOC
708613002,T462,T46.2 Drainage of ascites NEC
288110008,T488,T48.8 Other specified other operations on peritoneum
63343006,Y206,Y20.6 Plugged biopsy NOC
710197007,Y983,Y98.3 Radiology of three body areas (or 20-40 minutes)
431946006,Z534,Z53.4 Peritoneal cavity
772080006,Y752,Y75.2 Laparoscopic approach to abdominal cavity NEC
609260005,Y752,Y75.2 Laparoscopic approach to abdominal cavity NEC
6801000,Y059,Y05.9 Unspecified excision of organ NOC
32578005,H031,H03.1 Drainage of abscess of appendix
8613002,H022,H02.2 Planned delayed appendicectomy NEC
6025007,H029,H02.9 Unspecified other excision of appendix
438341004,X411,X41.1 Insertion of ambulatory peritoneal dialysis catheter
265084002,Q549,Q54.9 Unspecified operations on other ligament of uterus
276189003,Y053,Y05.3 Excision of sinus track from organ NOC
387824007,T348,T34.8 Other specified open drainage of peritoneum
13176000,T468,T46.8 Other specified other drainage of peritoneal cavity
238257004,T453,T45.3 Image controlled percutaneous drainage of abdominal abscess NEC
45602008,T415,T41.5 Freeing of extensive adhesions of peritoneum
60305009,T374,T37.4 Repair of mesentery of small intestine
238307009,T368,T36.8 Other specified operations on omentum
47045001,Y069,Y06.9 Unspecified excision of lesion of organ NOC
25187007,T362,T36.2 Excision of lesion of omentum
29481005,T431,T43.1 Diagnostic endoscopic examination of peritoneum and biopsy of lesion of peritoneum
359688006,P312,P31.2 Drainage of pouch of Douglas
81561002,Y254,Y25.4 Removal of other suture from organ NOC
25187007,Y222,Y22.2 Aspiration of other lesion of organ NOC
443041005,Y531,Y53.1 Approach to organ under radiological control
39258002,T374,T37.4 Repair of mesentery of small intestine
51113007,H032,H03.2 Drainage of appendix NEC
238276002,Y228,Y22.8 Other specified drainage of organ NOC
238277006,T391,T39.1 Excision of lesion of posterior peritoneum
238265001,H161,H16.1 Drainage of colon
63343006,Y207,Y20.7 Vacuum biopsy of lesion of organ NOC
51113007,Y181,Y18.1 Freeing of adhesions of organ NOC
50065002,T488,T48.8 Other specified other operations on peritoneum
177996005,T424,T42.4 Endoscopic removal of foreign body from peritoneum
89999000,Q523,Q52.3 Shortening of broad ligament of uterus
120174003,T381,T38.1 Excision of lesion of mesentery of colon
709633006,T433,T43.3 Diagnostic endoscopic ultrasound examination of peritoneum
55281003,Q548,Q54.8 Other specified operations on other ligament of uterus
238303008,Y055,Y05.5 Debridement of organ NOC
708614008,T423,T42.3 Endoscopic division of adhesions of peritoneum
708876004,H024,H02.4 Incidental appendicectomy
386676003,T416,T41.6 Excision of peritoneum
55281003,Y118,Y11.8 Other specified other destruction of organ NOC
608790005,T271,T27.1 Repair of ventral hernia using insert of natural material
76359002,Y221,Y22.1 Aspiration of haematoma of organ NOC
241479003,Y985,Y98.5 Radiology of > 4 body areas (or > 40 minutes)
171757002,A534,A53.4 Creation of lumboperitoneal shunt
238260006,T459,T45.9 Unspecified image controlled operations on abdominal cavity
63343006,Q548,Q54.8 Other specified operations on other ligament of uterus
710313004,Y948,Y94.8 Other specified radiopharmaceutical imaging
608790005,T982,T98.2 Repair of recurrent ventral hernia using insert of prosthetic material
177940003,T332,T33.2 Open destruction of lesion of peritoneum
171756006,A533,A53.3 Creation of syringoperitoneal shunt
72741000,A538,A53.8 Other specified drainage of spinal canal
709633006,T411,T41.1 Open biopsy of lesion of peritoneum NEC
238286001,T462,T46.2 Drainage of ascites NEC
118837004,H021,H02.1 Interval appendicectomy
676002,X421,X42.1 Insertion of temporary peritoneal dialysis catheter
43340002,Q549,Q54.9 Unspecified operations on other ligament of uterus
71192002,X405,X40.5 Automated peritoneal dialysis
81561002,Y255,Y25.5 Other attention to suture of organ NOC
178005004,Y535,Y53.5 Approach to organ under image intensifier
238292007,T305,T30.5 Packing of abdominal cavity
238280007,T348,T34.8 Other specified open drainage of peritoneum
709633006,T432,T43.2 Diagnostic endoscopic examination of peritoneum and biopsy of lesion of intra-abdominal organ NEC
72741000,A536,A53.6 Creation of lumbar subcutaneous shunt
772775008,Y752,Y75.2 Laparoscopic approach to abdominal cavity NEC
174041007,H018,H01.8 Other specified emergency excision of appendix
